lsoa,os,left,right,top,bottom
E01000338,E00001627,0.138536293,0.152160882,51.4907874,51.48376922
E01000339,E00001679,0.078397921,0.094217421,51.44211357,51.43644711
E01000340,E00001685,0.085981476,0.095907195,51.45562782,51.44843989
E01000341,E00001664,0.089530584,0.100552308,51.45273037,51.44650435
E01000342,E00001666,0.086293057,0.095120289,51.45074979,51.44330201
E01000343,E00001674,0.093660347,0.103264642,51.45185198,51.44333957
E01000344,E00001663,0.080929929,0.093791452,51.44525648,51.43879297
E01000345,E00001662,0.088744273,0.099999678,51.44472931,51.43874426
E01000346,E00001697,0.102205807,0.116896833,51.44941294,51.44243327
E01000347,E00001696,0.101769042,0.109906784,51.45088864,51.44559463
E01000348,E00001700,0.119513015,0.130934163,51.44855026,51.44218872
E01000349,E00001695,0.123269393,0.14280744,51.44895218,51.44331456
E01000350,E00001699,0.099278749,0.11053382,51.44934762,51.44133472
E01000351,E00001698,0.108595465,0.12418543,51.44746007,51.43969817
E01000352,E00001704,0.104711591,0.124176595,51.45167544,51.44462342
E01000353,E00001740,0.135929655,0.150447569,51.47203475,51.46600571
E01000354,E00001732,0.129777291,0.139095069,51.47384601,51.46749014
E01000355,E00001739,0.146681239,0.15844387,51.47119911,51.46454455
E01000356,E00001729,0.127051749,0.136891089,51.47072827,51.46349863
E01000357,E00001730,0.123774755,0.12913166,51.47232766,51.46375762
E01000358,E00001731,0.133796208,0.147571119,51.46880194,51.46353262
E01000359,E00001728,0.125260747,0.136150124,51.47569819,51.46832557
E01000360,E00001767,0.131267214,0.14447829,51.46162946,51.45402146
E01000361,E00001761,0.126706358,0.135895713,51.45823888,51.44821945
E01000362,E00001774,0.136839292,0.152836152,51.45722935,51.4511496
E01000363,E00001780,0.130468667,0.142760958,51.45648343,51.44825149
E01000364,E00001762,0.14166606,0.15690876,51.4534596,51.446685
E01000365,E00001765,0.140333799,0.149906952,51.46459378,51.45641155
E01000366,E00001764,0.130534559,0.141134016,51.46391949,51.45814382
E01000367,E00001799,0.171645704,0.181206473,51.47691232,51.46793095
E01000368,E00001802,0.170528286,0.179602988,51.47109315,51.46524321
E01000369,E00001796,0.161314313,0.173239813,51.47304611,51.46659237
E01000370,E00001798,0.156389377,0.167653922,51.4711184,51.46453878
E01000371,E00001809,0.163958866,0.177384864,51.46907761,51.46427734
E01000372,E00001819,0.165885929,0.175522551,51.47835257,51.47148692
E01000373,E00001821,0.175367771,0.181318407,51.47577205,51.47277904
E01000374,E00001836,0.186711973,0.203872778,51.4640947,51.45192969
E01000375,E00001842,0.181879622,0.198113792,51.45458527,51.44582225
E01000376,E00001832,0.17722445,0.195603798,51.46262534,51.45188153
E01000377,E00001833,0.170547794,0.188396631,51.45976989,51.45285744
E01000378,E00001845,0.161834292,0.183456261,51.45567987,51.44120681
E01000379,E00001834,0.17322365,0.185922524,51.45025559,51.44200426
E01000380,E00001831,0.177191199,0.189807112,51.46419021,51.45833533
E01000381,E00001870,0.12245208,0.156741021,51.43621509,51.42294741
E01000382,E00001880,0.112171146,0.124049768,51.43397158,51.42213168
E01000383,E00001869,0.119795642,0.15460675,51.42970529,51.40851
E01000384,E00001868,0.105798231,0.116272444,51.4254428,51.41693176
E01000385,E00001874,0.116383886,0.132049413,51.42382851,51.41378291
E01000386,E00001867,0.108879455,0.12182945,51.42446819,51.41292724
E01000387,E00001878,0.119579076,0.132492261,51.43612282,51.42721982
E01000388,E00001904,0.101920325,0.117449795,51.46220168,51.45420632
E01000389,E00001906,0.116411333,0.131210939,51.4610129,51.45241678
E01000390,E00001922,0.113498023,0.130202508,51.45715147,51.4482744
E01000391,E00001919,0.103591531,0.122453424,51.45651415,51.44939093
E01000392,E00001907,0.106779423,0.119003619,51.46471266,51.46045518
E01000393,E00001909,0.115118029,0.127185678,51.46408301,51.45922553
E01000394,E00001905,0.122780634,0.133730232,51.46389333,51.45764185
E01000395,E00001955,0.082145429,0.092859686,51.47037254,51.46249403
E01000396,E00001938,0.082225268,0.094450525,51.46401904,51.45971835
E01000398,E00001944,0.088640714,0.099085924,51.4744461,51.468031
E01000399,E00001952,0.086522256,0.098823612,51.47003289,51.46264203
E01000400,E00001949,0.093702091,0.103318647,51.47125103,51.46346392
E01000401,E00001957,0.10094077,0.110527752,51.46947558,51.46449322
